Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Registered Nurse MNC Virtual Care - Port Macquarie/Kempsey/Coffs Harbour Hub - Full Time/Part Time,Location Negotiable,,13th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mnc-virtual-care-port-macquarie-kempsey-coffs-harbour-hub-full-time-part-time-294765,2025-06-06,2025-06-15
Registered Nurse -  Emergency Department - Bega Hospital,"Bega, South East Regional Hospital | South Coast",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-bega-hospital-294747,2025-06-06,2025-06-15
Registered Nurse - Surgical Ward - Bega,"Bega, South East Regional Hospital | South Coast",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-ward-bega-294743,2025-06-06,2025-06-15
Registered Nurse - Hospital in The Home (HITH),"Mudgee, Mudgee Health Service | Central West",, 19 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-hospital-in-the-home-hith-294735,2025-06-06,2025-06-15
"CCLHD - Registered Nurse, Mental Health",Central Coast and 1 additional location,,sunday 15 june at 11:59 pm 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-mental-health-294739,2025-06-06,2025-06-15
Registered Nurse and/or Registered Midwife | Child and Family Health | Permanent Full-time and Part-time rotating roster various positions | Tresillian Belmore,"Belmore, Tresillian Canterbury | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-and-or-registered-midwife-child-and-family-health-permanent-full-time-and-part-time-rotating-roster-various-positions-tresillian-belmore-294721,2025-06-06,2025-06-25
"Registered Nurse, Specialist Palliative Care - Tweed","Tweed Heads, Tweed Community & Allied Health | Far North Coast","salary packaging + more. employment type: permanent part timeposition classification: registered nurseremuneration: $72,152.53", 20 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-specialist-palliative-care-tweed-294707,2025-06-06,2025-06-15
Registered Nurse - Acute Ward,"Katoomba, Blue Mountains Hospital | Western Sydney",,19/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-ward-294695,2025-06-06,2025-06-15
CCLHD - Registered Nurse -  Mental Health Acute Care Team,Central Coast and 1 additional location,,sunday 15 june 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-mental-health-acute-care-team-294691,2025-06-06,2025-06-15
"Registered Nurse, Perioperative - Grafton","Grafton, Grafton Base Hospital | Far North Coast",, 19 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-perioperative-grafton-294679,2025-06-06,2025-06-15
Registered Nurse Acute Aged Care,"St Leonards, Royal North Shore Hospital | Sydney",, 20 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-aged-care-294674,2025-06-06,2025-06-15
Registered Nurse - Discharge Lounge - Bega Hospital,"Bega, South East Regional Hospital | South Coast",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-discharge-lounge-bega-hospital-294636,2025-06-06,2025-06-15
Registered Nurse - Surgical/Medical Ward - $5k Incentive Offered - Cooma Hospital,"Cooma, Cooma District Hospital | South Coast",salary packaging – up to; incentive scheme with a value of up to, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-surgical-medical-ward-5k-incentive-offered-cooma-hospital-294661,2025-06-06,2025-06-15
